text,label
Congratulations! You won a free iPhone. Click here now!,phishing
Your bank account has been suspended. Verify immediately.,phishing
Claim your lottery prize by clicking this link.,phishing
Urgent! Update your password now.,phishing
Meeting scheduled for tomorrow at 10 AM.,safe
Please find the attached project report.,safe
Lunch with team today at 1 PM.,safe
Your order has been successfully delivered.,safe
Win a free vacation package now!,phishing
Click here to claim your reward.,phishing
Your account will be locked. Verify now.,phishing
Update your banking details immediately.,phishing
Team meeting has been postponed.,safe
Please review the attached document.,safe
Happy birthday! Have a great day.,safe
Your package has been shipped.,safe
